sample	total	protocol	CHR13	post.t13	BF.13	factor.13	CHR18	post.t18	BF.18	factor.18	CHR21	post.t21	BF.21	factor.21	post.13	post.18	post.21
Individual_15330	380571	Protocol_7	0.0385709893817448	7.87418082562209e-46	-103.85532512056831	1.0837687131806006	0.029447855984822805	6.949356699483851e-116	-265.161221693242	1.0368034666731387	0.013238002895648906	1.855952746966794e-108	-248.06079186892543	1.0104419398511557	1	1	1
Individual_15332	18723	Protocol_7	0.03519735085189339	4.316113999252083e-28	-63.01002714361381	0.9889761256208941	0.026544891310153286	1.0262520726379405e-31	-71.35422448141011	0.9345955558534768	0.014527586391069807	9.44182318273718e-9	-18.47811673223057	1.1088744042481393	1	1	0.9999999905581767
Individual_15333	216923	Protocol_7	0.037902850320159685	3.9018515481895714e-47	-106.86004817429945	1.0649953235785568	0.028890435776750274	2.612728267456272e-106	-243.11362486879202	1.0171777525151664	0.013013834402068937	2.4366110200344542e-84	-192.5265396638622	0.9933314097136449	1	1	1
Individual_15334	21306	Protocol_7	0.03947244907537783	1.735531348629921e-19	-43.19780314756123	1.1090979522748727	0.02924058950530367	8.705539675871837e-26	-57.70325285046724	1.0295060048612725	0.011968459588848212	9.437210517149724e-19	-41.50445632646167	0.9135391206146999	1	1	1
Individual_15335	41237	Protocol_7	0.036932851565341804	8.756657150424355e-35	-78.4206640265054	1.037740272071029	0.029124330091907753	7.925978970497479e-42	-94.63842806421539	1.0254127301962377	0.013070785944661347	3.158799203649107e-24	-54.11185027532135	0.9976784571971822	1	1	1
Individual_15336	209758	Protocol_7	0.038015236605993576	2.6918340737595485e-46	-104.9286915046339	1.068153156507649	0.029867752362246015	4.120738417995866e-90	-205.81662599449314	1.0515872261420878	0.012833837088454314	3.1313619537425054e-87	-199.18343505157986	0.9795924162891506	1	1	1
Individual_15337	651775	Protocol_5	0.035142495493076596	1.7759034088821866e-36	-82.31875409158535	0.9874347982505343	0.027919143876337694	1.1650481820375622e-102	-234.71091704125806	0.98298039668667	0.01322542288366384	7.642228821398782e-140	-320.32822372798347	1.0094817216208274	1	1	1
Individual_15338	5168	Protocol_7	0.03502321981424149	2.2514795953006356e-13	-29.12201861091741	0.9840833869687161	0.032507739938080496	4.048848847438079e-7	-14.71966264055786	1.1445362093213696	0.01431888544891641	3.095359424878643e-5	-10.382990480685999	1.0929444949936584	0.9999999999997748	0.9999995951151155	0.9999690464057513
Individual_15339	1498941	Protocol_7	0.03678063379412532	2.1581936191550266e-60	-137.3858339952583	1.0334632529776948	0.028817011476769266	1.4232517097351917e-157	-361.1529154099274	1.0145926214007794	0.013030532889553357	8.112463159263381e-191	-437.70035122107384	0.9946059865678231	1	1	1
Individual_15340	806273	Protocol_7	0.03724420884737552	3.140607452793487e-56	-127.800348970153	1.04648879748606	0.028708638389230448	7.211582651812225e-150	-343.4120755140187	1.010777009394519	0.01297451359527108	2.211995990670902e-163	-374.52747488690676	0.9903300965540597	1	1	1
Individual_15341	273721	Protocol_7	0.037603983618355916	3.5850340081803073e-50	-113.85248668945293	1.0565977588279958	0.029051479426130986	2.5048909331962517e-112	-256.9712852213864	1.0228477956602318	0.012870769871511503	9.332199364101334e-102	-232.63020876797032	0.982411454270225	1	1	1
Individual_15342	110632	Protocol_7	0.036427073541109266	1.049788355182222e-49	-112.77808097934918	1.0235289073312652	0.028635476173259095	7.056480180227959e-82	-186.85803125636934	1.0082011057637865	0.013540386145057488	1.9080266679283733e-44	-100.66767454190793	1.033522514732381	1	1	1
Individual_15343	275854	Protocol_7	0.03804911293655339	1.3990810461100529e-47	-107.88568374525654	1.0691050145690206	0.029580865240308278	1.1684713785095084e-103	-237.01056819790514	1.0414864716857286	0.013409267221066216	1.3258009921592042e-85	-195.43771610532144	1.0235143540639404	1	1	1
Individual_15344	364731	Protocol_7	0.035708508462401055	1.32929704767102e-63	-144.77821059170108	1.0033386461227547	0.028898009766101594	7.875073321134185e-125	-285.75943412896714	1.0174444183946805	0.013316663513658011	3.0028477172465425e-103	-236.06670350087893	1.016446016755923	1	1	1
Individual_15345	181085	Protocol_7	0.03655189551867907	1.0970320986755823e-53	-121.94440148740411	1.0270361586664232	0.028721318717729243	1.2690148480563224e-101	-232.32285350313882	1.0112234598441843	0.013452246182731865	8.926333901383475e-65	-147.47902527137717	1.02679489008894	1	1	1
Individual_15346	1662886	Protocol_7	0.03773319397721792	4.065327524815079e-54	-122.9371007100142	1.0602283150205667	0.029181194621880274	4.235125388505954e-150	-343.9443510137656	1.027414823042543	0.013174084092355098	9.668977090677048e-186	-426.01190477475194	1.0055630891587761	1	1	1
Individual_15347	9850	Protocol_1	0.034416243654822334	1.567255192941e-17	-38.69462077632285	0.9670285542623418	0.026802030456852793	7.499094172443652e-18	-39.4317494376522	0.943648940210315	0.013197969543147208	1.1047378187646502e-8	-18.321072694174088	1.0073862388757573	1	1	0.999999988952622
Individual_15348	67335	Protocol_1	0.03738026286478058	4.0990052101197535e-25	-56.15388301225882	1.050311646983302	0.02839533674909037	2.5726969558839943e-47	-107.27654462287077	0.9997462495735313	0.0138263904358803	1.1012711847927147e-27	-62.07333237571382	1.0553529020425199	1	1	1
Individual_15349	28916	Protocol_1	0.038663715589984785	3.839363355062866e-18	-40.101225113990736	1.0863741367124617	0.029395490385945498	1.761846462997998e-26	-59.30085003204053	1.0349597727051163	0.012415271821828746	1.0525114546463156e-21	-48.30310778308537	0.9476437981103113	1	1	1
Individual_15350	1088	Protocol_7	0.03216911764705882	3.3786469354909934e-7	-14.900619998689553	0.9038887463179505	0.022058823529411766	6.373372469474263e-7	-14.265966254076691	0.7766495706109294	0.012867647058823529	3.2908767933283254e-4	-8.018857198332421	0.9821730934740308	0.9999996621353062	0.9999993626627531	0.999670912320667
Individual_15351	18018	Protocol_7	0.03535353535353535	3.8402380858975674e-27	-60.82426314462579	0.9933646020140708	0.029026529026529028	1.748004570615431e-23	-52.40098224686457	1.0219693391500015	0.011877011877011878	8.727121328909738e-17	-36.97751101010888	0.906559019154439	1	1	1
Individual_15352	53065	Protocol_1	0.03576745500800905	3.543045282260319e-28	-63.207395997263816	1.0049949277713208	0.028493357203429756	1.0621578222397473e-41	-94.34568629246527	1.0031973648912755	0.013455196457175163	2.7805514323058603e-26	-58.844563152868226	1.0270200812340908	1	1	1
